lat,lon,bec_zone,map_label,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,trend_slope,trend_pvalue,trend_class,top_k_years,consistent_core
52.957791,-128.637795,CWH,CWHvm2,0.055703804,0.014549465,0.008874698,0.004271166,0.011361779,0.045337573,0.008693154,0.030543,34.38,11.27,12.3,11.450000000000001,14.23,17.02,12.36,38.57,0.7817857,0.27509922,stable,0,False
49.426272,-122.314548,CWH,CWHvm1,0.045906607,0.24686061,0.20563088,0.27367947,0.15685649,0.40704152,0.10554003,0.027915,31.330000000000002,50.62,61.040000000000006,69.35,50.41,47.88,40.02,37.32,-2.3733332,0.39875993,stable,0,False
53.853699,-132.476811,CWH,CWHvh3,0.02128444,0.38624462,0.041209675,0.013677057,0.81658953,0.5298192,0.14787708,0.090214,20.830000000000002,61.160000000000004,32.379999999999995,23.3,90.34,55.24,45.410000000000004,56.230000000000004,4.4333334,0.39875993,stable,0,False
50.242786,-123.911725,CWH,CWHvm1,0.018338908,0.08183156,0.007776079,0.010844121,0.016230052,0.017477233,0.017188039,0.008392,19.13,31.540000000000003,11.020000000000001,20.549999999999997,17.88,9.21,18.22,21.085,-0.23208334,0.9048611,stable,0,False
50.893349,-124.543008,CWH,CWHms1,0.98918426,0.9785749,0.92920107,0.9655556,0.9363522,0.83833927,0.9847172,0.98483,99.33,97.48,96.41999999999999,97.88,96.05,75.01,98.16,99.6,-0.073214285,1.0,stable,7,True
49.884469,-123.87693,CWH,CWHdm,0.8110866,0.7125349,0.54051155,0.60475034,0.7626545,0.86332446,0.68677175,0.440436,90.61,80.30000000000001,81.81,85.49,87.77000000000001,77.31,80.92,83.00999999999999,-0.665,0.71954364,stable,0,False
53.442152,-132.382033,CWH,CWHvh3,0.042345777,0.07171276,0.06375385,0.03972426,0.23775029,0.2890914,0.20350575,0.013215,30.17,29.57,39.44,37.65,58.45,40.32,51.449999999999996,26.87,2.2616668,0.5484127,stable,0,False
50.280804,-127.567369,CWH,CWHvm1,0.37454802,0.98224497,0.8744899,0.664378,0.6089207,0.9294312,0.8250698,0.037741,70.49,97.84,94.38,87.87,81.01,84.33,87.97,42.055,-3.36375,0.39875993,stable,1,False
48.379365,-123.777969,CWH,CWHxm2,0.7822359,0.8130206,0.7696221,0.7583444,0.69651175,0.9159795,0.689937,0.766325,89.41,86.09,90.86999999999999,90.57,85.14,82.8,81.11,93.39,-0.90925,0.5484127,stable,0,False
52.704698,-128.51013,CWH,CWHvh2,0.017052885,0.11350874,0.013211509,0.003938826,0.02930013,0.023950357,0.013466489,0.017175,18.48,36.65,16.580000000000002,10.639999999999999,24.92,11.73,15.950000000000001,30.159999999999997,-0.28958333,0.9048611,stable,0,False
53.844164,-132.52588,CWH,CWHvh3,0.048879854,0.37820292,0.090662345,0.15699503,0.4203684,0.85424334,0.27693874,0.202696,32.300000000000004,60.6,45.7,59.48,71.13000000000001,76.57000000000001,57.60999999999999,68.76,4.415167,0.17886905,stable,0,False
50.395574,-126.190939,CWH,CWHvm1,0.986598,0.99559623,0.9337562,0.92666876,0.9799438,0.99137443,0.9755136,0.963314,99.11999999999999,99.51,96.52,96.46000000000001,98.75,96.00999999999999,97.23,98.67,-0.11625,0.39875993,stable,8,True
53.995898,-132.433402,CWH,CWHvh3,0.015995158,0.031174447,0.044407345,0.0046996525,0.09126061,0.32252508,0.03794496,0.06252,17.72,18.75,33.64,12.27,40.63,42.55,26.44,50.18,3.655,0.061011903,increasing,0,False
51.321486,-126.898893,CWH,CWHvm2,0.018780068,0.043289725,0.044303767,0.022570286,0.0038152079,0.09854236,0.023880314,0.002888,19.37,22.68,33.58,29.98,6.140000000000001,24.79,21.41,10.02,-2.3525,0.5484127,stable,0,False
52.214715,-127.627884,CWH,CWHvm1,0.036396537,0.026451405,0.023669595,0.008145463,0.040275488,0.37834978,0.12739381,0.025585,28.1,17.03,24.19,17.580000000000002,29.04,46.2,42.95,36.1,2.8266666,0.108680554,stable,0,False
53.27708,-129.037193,CWH,CWHvm1,0.009847029,0.013751922,0.0034938562,0.0044094645,0.0031518363,0.016250957,0.002150979,0.000289,12.629999999999999,10.76,5.42,11.709999999999999,5.09,8.649999999999999,4.12,0.605,-1.5125,0.014136905,declining,0,False
53.135371,-132.205593,CWH,CWHvh3,0.005445454,0.01161439,0.022196285,0.008673295,0.012906968,0.06949774,0.018409343,0.002909,7.95,9.44,23.29,18.37,15.55,21.17,18.88,10.13,0.85571426,0.5484127,stable,0,False
48.791687,-123.591959,CDF,CDFmm,0.9967632,0.9978231,0.99553597,0.9972192,0.9933303,0.99971205,0.9983209,0.990268,99.88,99.8,99.8,99.85000000000001,99.68,99.96000000000001,99.92999999999999,99.82,0.0036666666,0.70838404,stable,8,True
53.104775,-131.651933,CWH,CWHvh3,0.354493,0.5061656,0.62572366,0.13669544,0.47527066,0.85124356,0.7119434,0.279447,69.21000000000001,68.95,85.49,56.98,74.37,76.13,82.19,74.39,1.337,0.39875993,stable,0,False
50.166084,-122.932596,CWH,CWHms1,0.82770497,0.94475394,0.9587762,0.77587235,0.680645,0.99578625,0.8497519,0.722714,91.25999999999999,94.63000000000001,97.6,91.14999999999999,84.45,97.92999999999999,89.39,92.13,-0.17416666,0.9048611,stable,2,False
53.31337,-128.425194,CWH,CWHvm2,0.0010398711,0.004771713,0.00059020054,0.00045732947,0.0005691718,0.0012665795,0.00032575897,0.000174,1.5599999999999998,4.45,0.7100000000000001,1.39,0.8699999999999999,0.8699999999999999,0.5499999999999999,0.26,-0.23166667,0.017844012,stable,0,False
53.240488,-131.793762,CWH,CWHvh3,0.2890201,0.5503776,0.6251751,0.27091473,0.43260223,0.21915129,0.24553284,0.346855,64.63,71.39,85.47,69.19,71.86,35.31,55.13,78.55,-0.47166666,1.0,stable,0,False
55.022362,-130.879073,CWH,CWHvh3,0.0039283726,0.013005896,0.007728978,0.003767357,0.0062211687,0.00868122,0.0021653788,0.001588,5.93,10.26,10.92,10.299999999999999,9.41,5.45,4.16,5.4399999999999995,-0.77916664,0.108680554,stable,0,False
53.127645,-128.932959,CWH,CWHvm1,0.013643135,0.0076158848,0.0025111446,0.0022147633,0.023162926,0.05095877,0.004559138,0.001795,15.809999999999999,6.72,3.7900000000000005,6.619999999999999,22.28,18.05,7.9799999999999995,6.194999999999999,-0.06875,0.9048611,stable,0,False
53.290338,-130.070362,CWH,CWHvh2,0.08930625,0.22483553,0.28970647,0.035937805,0.18641447,0.38952044,0.22614695,0.128518,41.56,48.57,67.58999999999999,36.309999999999995,53.480000000000004,46.87,53.43,61.75000000000001,2.0875,0.39875993,stable,0,False
51.599706,-128.040706,CWH,CWHvh2,0.026552552,0.048553005,0.018763265,0.040872335,0.044544585,0.05801619,0.0338696,0.007986,23.549999999999997,24.279999999999998,21.13,38.019999999999996,30.45,19.37,25.3,20.48,-0.512619,0.71954364,stable,0,False
50.630771,-126.169575,CWH,CWHvm2,0.11959135,0.37805906,0.17038943,0.16052663,0.07581156,0.13354822,0.13634774,0.012351,46.910000000000004,60.589999999999996,57.230000000000004,59.940000000000005,37.81,28.48,43.97,26.07,-3.523,0.061011903,declining,0,False
49.193024,-122.468984,CWH,CWHdm,0.5171275,0.5690068,0.6255856,0.3626996,0.54688257,0.9066433,0.3270171,0.271231,77.86999999999999,72.37,85.48,74.59,78.27,81.64,61.18,73.88,-0.83166665,0.71954364,stable,0,False
52.724556,-128.303874,CWH,CWHvh2,0.038833044,0.17032547,0.021219373,0.005525574,0.042435277,0.0511569,0.013485639,0.008299,28.92,43.419999999999995,22.720000000000002,13.700000000000001,29.759999999999998,18.09,15.959999999999999,20.95,-2.145,0.27509922,stable,0,False
50.369793,-126.040425,CWH,CWHvm2,0.112960555,0.17743707,0.037276264,0.080036156,0.34628132,0.1975329,0.027973302,0.058805,45.93,44.14,30.759999999999998,47.88,66.71000000000001,33.75,23.150000000000002,49.26,-0.7225,1.0,stable,0,False
53.905678,-133.021795,CWH,CWHvh3,0.12413833,0.054169383,0.027845314,0.021903837,0.06440659,0.16401257,0.10095484,0.026121,47.660000000000004,25.77,26.5,29.56,35.370000000000005,31.130000000000003,39.33,36.36,1.6216667,0.27509922,stable,0,False
53.783459,-132.148629,CWH,CWHvh3,0.014455622,0.02252919,0.0078601865,0.010282355,0.019238576,0.02303023,0.0408413,0.005112,16.509999999999998,15.340000000000002,11.16,20.03,19.8,11.34,27.229999999999997,15.64,0.44125,0.71954364,stable,0,False
49.180158,-124.828501,CWH,CWHxm2,0.3498519,0.6062788,0.54969895,0.49504903,0.32783023,0.821771,0.647674,0.329017,68.91000000000001,74.16,82.3,80.99,65.36,73.50999999999999,79.03999999999999,77.57,0.7441667,0.9048611,stable,0,False
49.316836,-122.6691,CWH,CWHdm,0.5561856,0.17382841,0.21269456,0.06263914,0.045685086,0.23707852,0.067381725,0.048916,79.54,43.79,61.629999999999995,44.07,30.819999999999997,36.730000000000004,33.64,46.050000000000004,-3.5733333,0.27509922,stable,0,False
48.404027,-123.723765,CWH,CWHxm2,0.9861463,0.9906509,0.9917231,0.99843293,0.9685615,0.9987332,0.9967443,0.946921,99.07000000000001,98.87,99.51,99.96000000000001,98.02,99.41,99.7,98.06,-0.01,1.0,stable,8,True
52.874826,-128.942516,CWH,CWHvh2,0.090072766,0.8062672,0.42673594,0.2125967,0.14899427,0.085747026,0.40251958,0.360072,41.79,85.7,75.69,65.10000000000001,49.25,23.200000000000003,65.59,79.39,-0.44416666,1.0,stable,0,False
50.620921,-125.615249,CWH,CWHvm1,0.7120561,0.7234221,0.103088014,0.15163279,0.39403576,0.8254618,0.18212792,0.111827,86.19,80.81,47.949999999999996,58.77,69.57,73.9,49.480000000000004,59.540000000000006,-3.4441667,0.39875993,stable,0,False
55.094646,-132.339207,CWH,CWHvh3,0.00026650686,0.00044604763,0.00017655143,0.00020547323,0.00023248348,0.0007252514,0.00031144256,0.000225,0.25,0.29,0.13999999999999999,0.48,0.33,0.51,0.51,0.41000000000000003,0.033333335,0.06146491,stable,0,False
54.092029,-132.294225,CWH,CWHvh3,0.039519116,0.3271845,0.07305718,0.07766377,0.43637848,0.33429283,0.21547163,0.080836,29.09,56.76,41.71,47.4,72.1,43.33,52.5,54.52,2.62975,0.27509922,stable,0,False
48.529062,-123.835755,CWH,CWHmm2,0.36888984,0.73178375,0.46701762,0.55582356,0.4857126,0.88264936,0.61159664,0.385598,70.08,81.27,77.94,83.5,75.0,79.27,77.38000000000001,80.56,0.5845,0.71954364,stable,0,False
51.336961,-124.956966,CWH,CWHms1,0.5054148,0.65505254,0.6407326,0.47936854,0.037759144,0.5977433,0.07571178,0.028772,77.33,76.85,86.09,80.24,28.26,59.089999999999996,35.39,37.625,-6.76375,0.17886905,stable,0,False
